what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1352479965839
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352479965839
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352479965840
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352479965840
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1352479965841
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1352479965841
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1352479965842
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1352479965843
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1352479965843
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1352479965843
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1352479965844
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1352479965845
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1352479965846
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352479965846
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352479965846
os,sysinfo,,,"linux",1352479965860
arch,sysinfo,,,"x86_64",1352479965860
ws,sysinfo,,,"gtk",1352479965860
locale,sysinfo,,,"eu_ES",1352479965860
processors,sysinfo,,,"2",1352479965860
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352479965860
java.runtime.version,sysinfo,,,"1.7.0_03-b04",1352479965860
java.specification.name,sysinfo,,,"Java Platform API Specification",1352479965860
java.specification.vendor,sysinfo,,,"Oracle Corporation",1352479965860
java.specification.version,sysinfo,,,"1.7",1352479965860
java.vendor,sysinfo,,,"Oracle Corporation",1352479965860
java.version,sysinfo,,,"1.7.0_03",1352479965860
java.vm.info,sysinfo,,,"mixed mode",1352479965860
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352479965860
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352479965860
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1352479965860
java.vm.specification.version,sysinfo,,,"1.7",1352479965860
java.vm.vendor,sysinfo,,,"Oracle Corporation",1352479965860
java.vm.version,sysinfo,,,"22.1-b02",1352479965860
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1352479969415
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1352479975840
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1352479975862
