what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1352719215851
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352719215855
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1352719215859
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1352719215873
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352719215873
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352719215873
os,sysinfo,,,"linux",1352719215877
arch,sysinfo,,,"x86_64",1352719215877
ws,sysinfo,,,"gtk",1352719215877
locale,sysinfo,,,"eu_ES",1352719215877
processors,sysinfo,,,"2",1352719215877
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352719215877
java.runtime.version,sysinfo,,,"1.7.0_03-b04",1352719215877
java.specification.name,sysinfo,,,"Java Platform API Specification",1352719215877
java.specification.vendor,sysinfo,,,"Oracle Corporation",1352719215877
java.specification.version,sysinfo,,,"1.7",1352719215877
java.vendor,sysinfo,,,"Oracle Corporation",1352719215877
java.version,sysinfo,,,"1.7.0_03",1352719215877
java.vm.info,sysinfo,,,"mixed mode",1352719215877
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352719215877
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352719215877
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1352719215877
java.vm.specification.version,sysinfo,,,"1.7",1352719215877
java.vm.vendor,sysinfo,,,"Oracle Corporation",1352719215877
java.vm.version,sysinfo,,,"22.1-b02",1352719215877
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352719216010
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352719216047
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1352719216658
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352719218322
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1352719218832
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1352719219922
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1352719219942
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1352719220032
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1352719220039
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1352719220202
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1352719220221
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1352719220603
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1352719220624
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1352719224311
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1352719224328
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1352719224510
